,,Table S3. List of DEGs across GSE150899.,,,,,,
,,,,,,,,
Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Symbol,Gene_Description
36,508.0899868,-0.717381581,0.131887634,-5.439339242,5.35E-08,1.24E-06,ACADSB,acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]
37,7601.139001,0.431939971,0.169978766,2.541140758,0.011049143,0.042373521,ACADVL,acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]
38,811.1868053,-0.759547708,0.163028573,-4.658985204,3.18E-06,4.47E-05,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]
39,231.3952446,0.009031643,0.142902095,0.063201614,0.949605959,0.97349605,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]
40,1.561371044,2.136182852,0.821947782,2.598927692,0.009351547,0.037087066,ASIC2,acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]
41,27.66564865,0.717154699,0.335929194,2.134838862,0.032774175,0.098808848,ASIC1,acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]
43,101.2863913,0.225623265,0.563148647,0.400646022,0.688680757,0.813612879,ACHE,acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]
47,1585.878666,0.126046428,0.127888803,0.985593933,0.324332416,0.509717857,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]
48,1202.207384,0.631234103,0.279237049,2.260567161,0.023786073,0.077112315,ACO1,aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]
49,13.52237574,-0.019319118,0.380795005,-0.050733644,0.959537767,0.978800607,ACR,acrosin [Source:HGNC Symbol;Acc:HGNC:126]
50,1558.98421,-0.014750238,0.159901352,-0.092245864,0.926502699,0.961351073,ACO2,aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]
51,715.1190686,0.31086431,0.134967478,2.303253452,0.021264587,0.070688937,ACOX1,acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]
52,1142.251862,-0.062770945,0.07816308,-0.803076658,0.421930428,0.605346156,ACP1,acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]
53,575.0281638,0.394051301,0.144041848,2.735672349,0.006225298,0.02684481,ACP2,"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]"
54,529.0431757,1.037994559,0.438310613,2.368171178,0.017876263,0.061801159,ACP5,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]"
55,64.85817089,0.348647329,0.275498641,1.265513789,0.205687209,0.376873522,ACP3,acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]
56,1.255732045,0.128863587,0.675245894,0.190839497,0.848651343,0.916129751,ACRV1,acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]
58,8.260749832,-0.078636389,0.707830128,-0.111095001,0.911541013,0.953326609,ACTA1,"actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]"
59,3351.048339,0.753504371,0.357557764,2.107364029,0.035086037,0.104210767,ACTA2,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
60,56707.0396,0.226519502,0.23169836,0.977648278,0.328248311,0.513759975,ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132]
70,16.46703325,0.42524545,0.56107086,0.757917547,0.448500345,0.629108725,ACTC1,actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]
71,39285.51588,0.497885719,0.159827578,3.115142734,0.001838559,0.010086386,ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
72,320.1470804,0.622162894,0.633329294,0.98236873,0.325918226,0.511273443,ACTG2,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
81,8248.536574,0.496536972,0.12721435,3.90315221,9.49E-05,0.000832665,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
86,545.4438475,0.045283646,0.085245262,0.531215993,0.595269111,0.747839588,ACTL6A,actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]
87,2415.916528,1.277088226,0.169727455,7.524346759,5.30E-14,4.53E-12,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]
88,14.1367615,-1.028330611,0.529856027,-1.940773642,0.052285739,0.140723471,ACTN2,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]
89,3.778944814,-0.4466097,0.4779483,-0.934430984,0.350081621,0.536920772,ACTN3,actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]
90,1563.0819,0.821235158,0.192828728,4.258883859,2.05E-05,0.000224489,ACVR1,activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]
91,470.209683,-0.26115102,0.104674527,-2.494886082,0.012599757,0.046914437,ACVR1B,activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]
92,300.8759975,0.009998332,0.113672415,0.087957415,0.929910523,0.963212953,ACVR2A,activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]
93,234.2339533,0.126505327,0.145394542,0.870083052,0.384255019,0.570589048,ACVR2B,activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]
94,518.688215,-0.148739782,0.213604413,-0.696332905,0.486220371,0.662010715,ACVRL1,activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]
95,246.5220902,0.852970189,0.172110595,4.955942368,7.20E-07,1.22E-05,ACY1,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]
97,118.9179188,-0.300756117,0.196248338,-1.532528222,0.125392139,0.266136548,ACYP1,acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]
98,183.3594122,-0.233879311,0.105521921,-2.216404979,0.026663779,0.0845153,ACYP2,acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]
100,183.1442925,0.244642033,0.357493206,0.684326384,0.49376909,0.667751217,ADA,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]
101,402.4387709,0.513857039,0.431522167,1.190801025,0.233731707,0.4105912,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]
102,1946.144569,-0.257168475,0.127131165,-2.02285942,0.043087643,0.12187979,ADAM10,ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]
103,3342.108263,0.077275342,0.186151274,0.415121211,0.678053172,0.80718499,ADAR,adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]
104,556.984354,0.701218559,0.193089276,3.631576931,0.000281695,0.002095866,ADARB1,adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]
105,12.33039726,1.022841872,0.536918986,1.905020867,0.056777359,0.14958373,ADARB2,adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]
107,261.5735151,-0.599236588,0.328001005,-1.826935221,0.06770951,0.169632844,ADCY1,adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]
108,15.145348,0.059060805,0.346577868,0.170411356,0.864686642,0.925189868,ADCY2,adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]
109,510.6662157,0.100799585,0.174656366,0.577130898,0.563851033,0.725097504,ADCY3,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]
111,92.92032077,0.279825877,0.389841222,0.717794479,0.472884018,0.650621407,ADCY5,adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]
112,876.0151549,-0.0129119,0.157179676,-0.082147391,0.934529508,0.965775781,ADCY6,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]
113,688.9785335,0.691315708,0.4002429,1.727240403,0.084124498,0.199246201,ADCY7,adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]
114,94.2219566,6.411240168,0.710612986,9.022126383,1.84E-19,3.44E-17,ADCY8,adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]
115,1252.899231,-0.58019081,0.197014559,-2.94491338,0.003230451,0.015937769,ADCY9,adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]
116,12.06481086,1.910670128,0.69622831,2.744315478,0.006063723,0.026284874,ADCYAP1,adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]
117,38.45424636,-1.258211556,0.284522557,-4.422185611,9.77E-06,0.00011848,ADCYAP1R1,ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]
118,4079.574873,0.243950265,0.088305256,2.762579225,0.005734664,0.025168419,ADD1,adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]
119,51.78326713,0.748144031,0.53652048,1.394437042,0.163185669,0.320806308,ADD2,adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]
120,3646.878188,-0.884361814,0.180980513,-4.886502968,1.03E-06,1.67E-05,ADD3,adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]
123,584.8012161,0.389990712,0.222148426,1.75554119,0.079166782,0.190769816,PLIN2,perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]
124,6.215727119,-0.785625766,0.380411312,-2.065200854,0.038904,0.112729143,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]"
125,610.9515364,-0.807275138,0.602608767,-1.339633909,0.180364394,0.344326638,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]"
126,22.64476002,-1.434322357,0.431017223,-3.327761125,0.000875469,0.005461859,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"
127,1.531527198,-0.939624181,0.686845431,-1.368028581,0.17130313,0.332401064,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]"
128,1578.719176,-0.658111759,0.121927865,-5.397550093,6.76E-08,1.52E-06,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]"
130,12.24141778,-0.930593231,0.308903897,-3.012565522,0.002590495,0.013370802,ADH6,alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]
132,792.3088701,0.592837478,0.146126325,4.057020377,4.97E-05,0.000481515,ADK,adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]
133,420.7239508,0.529408725,0.358605456,1.476298578,0.139863756,0.288341841,ADM,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
134,372.026628,2.361883324,0.313933212,7.523521678,5.33E-14,4.54E-12,ADORA1,adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]
135,59.12372992,-0.097822997,0.449719318,-0.217520113,0.827803034,0.903809439,ADORA2A,adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
136,24.10833322,-0.060250914,0.257101544,-0.234346762,0.814715786,0.895906797,ADORA2B,adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]
140,31.63435575,0.667275846,0.312371544,2.136160796,0.03266631,0.098565475,ADORA3,adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]
141,253.0040015,-0.03251289,0.191250501,-0.170001593,0.865008884,0.925392179,ADPRH,ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]
142,1901.651588,0.01811567,0.289073483,0.062668046,0.950030843,0.973786515,PARP1,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]
143,2999.262819,0.984185421,0.158146364,6.223256725,4.87E-10,1.85E-08,PARP4,poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]
146,7.113019899,-0.101448151,0.404268536,-0.250942485,0.801858577,0.887377127,ADRA1D,adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]
147,79.1446352,2.403414036,0.290238678,8.280819261,1.22E-16,1.56E-14,ADRA1B,adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]
148,28.0318933,0.881815069,0.531435741,1.659307045,0.097053936,0.221944515,ADRA1A,adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]
150,273.0745395,0.197279126,0.449963863,0.438433265,0.661072237,0.796004508,ADRA2A,adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]
151,43.41537632,0.548227671,0.404938609,1.35385379,0.175783029,0.338269977,ADRA2B,adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]
152,25.06736126,1.829631598,0.40907788,4.472575241,7.73E-06,9.68E-05,ADRA2C,adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]
153,8.84870893,0.16470783,0.405247015,0.406438107,0.684420725,0.811109469,ADRB1,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]
154,63.03628866,-0.274847676,0.400045121,-0.68704169,0.492056457,0.666465539,ADRB2,adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]
155,4.311906663,3.475212402,0.938344268,3.70355798,0.000212597,0.001650222,ADRB3,adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]
156,2417.063464,0.788233402,0.319926329,2.463796599,0.01374741,0.050146329,GRK2,G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]
157,599.054718,-0.04926546,0.213933205,-0.23028431,0.817870852,0.897584494,GRK3,G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]
158,671.8618656,0.114115147,0.139351062,0.818904034,0.412841168,0.59748994,ADSL,adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]
159,1209.912754,0.477708247,0.204679704,2.333930716,0.01959935,0.066461195,ADSS2,adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]
160,1454.133195,0.563344365,0.115364758,4.88315823,1.04E-06,1.70E-05,AP2A1,adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]
161,1186.9721,0.277401202,0.15499498,1.789743143,0.073495213,0.180776323,AP2A2,adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]
162,1918.326702,0.268929078,0.225984409,1.190033768,0.23403312,0.410976021,AP1B1,adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]
163,4054.560728,0.048442263,0.107886584,0.449011005,0.653423718,0.790003441,AP2B1,adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]
164,1662.754216,-0.228724116,0.101384862,-2.2559987,0.024070713,0.077844024,AP1G1,adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]
165,4307.859088,1.242689885,0.312718813,3.973825149,7.07E-05,0.000647462,AEBP1,AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]
166,7682.888994,0.502091856,0.133463777,3.762008449,0.000168554,0.001354308,TLE5,"TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]"
172,503.3067179,0.571910872,0.209263908,2.732964692,0.006276706,0.027012801,AFG3L1P,"AFG3 like matrix AAA peptidase subunit 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:314]"
174,0.381824392,0.818360108,1.288259352,0.635244842,0.525268742,NA,AFP,alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]
175,536.5735325,0.046352795,0.148386395,0.312379008,0.754752502,0.856307273,AGA,aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]
176,50.12023445,2.213782357,0.436651676,5.069904639,3.98E-07,7.29E-06,ACAN,aggrecan [Source:HGNC Symbol;Acc:HGNC:319]
177,752.1155382,-0.104351118,0.280758775,-0.371675355,0.710134576,0.82710964,AGER,advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]
178,567.4522019,-0.55127685,0.150552561,-3.661690283,0.000250557,0.001895748,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"
181,1.436158726,0.531608742,0.686103598,0.774822845,0.438444348,0.620334166,AGRP,agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]
182,1684.369,0.115965295,0.179593779,0.645708862,0.51846792,0.688335679,JAG1,jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]
183,216.3371349,1.357666221,0.486316309,2.791734921,0.005242629,0.023451783,AGT,angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]
185,114.225127,-1.549184374,0.508898662,-3.044190307,0.002333075,0.012254444,AGTR1,angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]
186,0.954113141,-1.688092263,1.163736959,-1.450578887,0.146897158,0.298122685,AGTR2,angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]
187,553.4133608,0.948412249,0.296482708,3.198878795,0.001379632,0.007988006,APLNR,apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]
189,0.527459979,0.983541773,1.30127366,0.755830079,0.44975108,0.630254564,AGXT,alanine--glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]
190,0.541050843,0.670582804,1.400181256,0.478925712,0.631991479,0.774566794,NR0B1,nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]
191,1791.238508,0.117959092,0.131305659,0.898354974,0.368996333,0.555828466,AHCY,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
196,2363.954709,0.614957392,0.228423684,2.692178767,0.007098688,0.029899289,AHR,aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]
197,0.321881074,0.67331665,1.286249879,0.523472663,0.60064537,NA,AHSG,alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]
199,279.7824394,0.742091616,0.414053181,1.792261597,0.073091072,0.180041373,AIF1,allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]
202,670.604063,-0.087246863,0.266946881,-0.326832301,0.743794727,0.849925745,CRYBG1,crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]
203,1329.377745,1.253580501,0.209176888,5.992920695,2.06E-09,6.70E-08,AK1,adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]
204,2475.182797,-0.151033335,0.080984698,-1.864961388,0.062186817,0.159595068,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
205,154.6041886,0.350502269,0.220497414,1.589598093,0.111925427,0.246042459,AK4,adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]
207,2105.401816,0.446993579,0.099746443,4.481298441,7.42E-06,9.36E-05,AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
208,4067.271356,-0.040033866,0.139962012,-0.286033802,0.774852232,0.869210686,AKT2,AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]
210,1347.402787,0.014161221,0.15604973,0.090748131,0.927692725,0.962075188,ALAD,aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]
211,608.6270978,0.027288096,0.136293455,0.200215751,0.841311849,0.912045002,ALAS1,5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
212,2.968108775,-1.256159408,0.519897936,-2.416165405,0.015684934,0.055628673,ALAS2,5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]
213,10.87261546,-0.545207435,0.357837549,-1.523617175,0.12760437,0.269336533,ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399]
214,2785.04317,-0.146206033,0.225937494,-0.647108326,0.517561837,0.687529654,ALCAM,activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]
215,306.5695171,0.188659901,0.187251852,1.007519549,0.313685168,0.498785512,ABCD1,ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]
216,2914.536954,-1.737019903,0.247551766,-7.016794632,2.27E-12,1.46E-10,ALDH1A1,aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]
217,1544.710809,-0.689149407,0.213576602,-3.226708361,0.00125223,0.007363269,ALDH2,aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]
218,12.11610931,0.115460977,0.320959203,0.359737237,0.719043643,0.833177554,ALDH3A1,aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]
219,227.9724917,-0.772836267,0.2170926,-3.559938324,0.000370942,0.002656996,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]
220,243.5755526,2.679507109,0.339978267,7.881407048,3.24E-15,3.29E-13,ALDH1A3,aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]
221,362.8042658,2.027530169,0.231629835,8.753320429,2.07E-18,3.36E-16,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]
222,3.426784954,2.443644531,0.706424505,3.459172939,0.000541837,0.003656801,ALDH3B2,aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]
223,2147.819596,-0.713360554,0.169094281,-4.218714859,2.46E-05,0.000262736,ALDH9A1,aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]
224,2757.538533,0.639355242,0.17925196,3.566796375,0.000361372,0.002600125,ALDH3A2,aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]
225,54.5623963,0.249942917,0.606060793,0.412405685,0.680042097,0.80835653,ABCD2,ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]
226,4480.662977,0.260348504,0.125833422,2.068993285,0.038546717,0.111920996,ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"
229,4.767658835,0.078305823,0.522438859,0.149885143,0.880855234,0.935291012,ALDOB,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"
230,190.3154356,0.503781011,0.396198341,1.271537405,0.203537529,0.37441936,ALDOC,"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"
231,720.1325355,0.304499064,0.229642844,1.32596801,0.184850294,0.349970053,AKR1B1,aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]
