,,Table S2. List of DEGs across GSE153659.,,,,,,
,,,,,,,,
Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Symbol,Gene_Description
37,14592.30133,-0.078458083,0.258684744,-0.303296136,0.761664191,0.864595936,ACADVL,acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]
38,2432.734506,0.566342799,0.168293661,3.365205767,0.000764866,0.007376323,ACAT1,acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:93]
39,601.4384454,0.013649492,0.138810762,0.098331654,0.921668943,0.959365792,ACAT2,acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]
40,1.761283353,-0.37964935,0.678295763,-0.559710632,0.575676829,0.734051713,ASIC2,acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]
41,47.72661232,-0.018996387,0.271897103,-0.06986609,0.944300244,0.971790387,ASIC1,acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]
43,83.2132082,0.925969206,0.398048051,2.326274941,0.020003888,0.078714782,ACHE,acetylcholinesterase (Yt blood group) [Source:HGNC Symbol;Acc:HGNC:108]
47,3392.482494,-0.053929205,0.159838457,-0.337398184,0.735816754,0.847703076,ACLY,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]
48,3165.080914,-0.499940051,0.269845596,-1.852689312,0.063926903,0.176003805,ACO1,aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]
49,11.65484758,-0.847454358,0.421646525,-2.009869188,0.044445036,0.136666906,ACR,acrosin [Source:HGNC Symbol;Acc:HGNC:126]
50,3822.448707,0.206536109,0.140210875,1.473039156,0.140740478,0.299799791,ACO2,aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]
51,2431.735995,-0.138211948,0.106747586,-1.294754787,0.195404833,0.371168935,ACOX1,acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]
52,3005.713933,0.358554535,0.127106034,2.820908839,0.004788781,0.028482669,ACP1,acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]
53,1246.194201,-0.414593004,0.120989964,-3.426672676,0.000611025,0.006218313,ACP2,"acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]"
54,899.5440123,-0.760486039,0.379877658,-2.001923577,0.045292951,0.138461154,ACP5,"acid phosphatase 5, tartrate resistant [Source:HGNC Symbol;Acc:HGNC:124]"
55,117.4287181,-0.554842335,0.346948965,-1.599204469,0.109775178,0.253555191,ACP3,acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]
56,2.840829858,-1.550527157,0.697011872,-2.224534788,0.026112485,0.094785759,ACRV1,acrosomal vesicle protein 1 [Source:HGNC Symbol;Acc:HGNC:127]
58,4.425476258,-0.152142606,0.617401099,-0.246424255,0.805353832,0.8914096,ACTA1,"actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]"
59,4770.09975,-0.896086497,0.349442199,-2.564333959,0.010337403,0.049302402,ACTA2,"actin alpha 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:130]"
60,98501.15049,-0.142362645,0.213120125,-0.667992498,0.504138381,0.677813078,ACTB,actin beta [Source:HGNC Symbol;Acc:HGNC:132]
70,21.09251515,-0.609186761,0.657108196,-0.927072231,0.353889033,0.544365796,ACTC1,actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]
71,88462.80924,-0.523482729,0.199881673,-2.618963115,0.008819748,0.043917696,ACTG1,actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
72,205.2401596,-0.527702362,0.524412517,-1.006273391,0.314284077,0.505836598,ACTG2,"actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]"
81,16221.71602,-0.418700493,0.160866849,-2.602776744,0.009247215,0.0455306,ACTN4,actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]
86,1389.787479,0.036490412,0.110154622,0.331265375,0.740444043,0.851152209,ACTL6A,actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]
87,4769.152758,-1.397064031,0.232472509,-6.009588127,1.86E-09,1.56E-07,ACTN1,actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]
88,12.56256421,0.221283758,0.440410741,0.502448595,0.615352004,0.764351484,ACTN2,actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]
89,5.601392733,0.725616202,0.587600099,1.234881006,0.216874793,0.397980945,ACTN3,actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]
90,3293.876833,-0.739886222,0.186292138,-3.971644903,7.14E-05,0.001199109,ACVR1,activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]
91,1184.650813,0.179224679,0.134863933,1.328929649,0.183871181,0.356381813,ACVR1B,activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]
92,713.6119991,0.031433317,0.141700883,0.221828659,0.824447268,0.902478864,ACVR2A,activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]
93,643.8166527,0.218241783,0.229054431,0.952794414,0.340694245,0.531552981,ACVR2B,activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]
94,1289.56682,0.214413352,0.251524881,0.852453845,0.393962246,0.582427526,ACVRL1,activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]
95,620.7252228,-0.453110359,0.237645411,-1.906665717,0.056563889,0.161703879,ACY1,aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]
97,385.3032673,0.231238999,0.253309167,0.912872603,0.361309548,0.551110656,ACYP1,acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]
98,450.1261224,0.058842646,0.191004874,0.308068821,0.758029965,0.862206937,ACYP2,acylphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:180]
100,260.1518002,0.147348535,0.302904321,0.486452402,0.626646445,0.772776068,ADA,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]
101,489.2466155,-0.102210907,0.347195516,-0.294390054,0.768459866,0.868526014,ADAM8,ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]
102,5164.569877,0.179633005,0.181786931,0.988151367,0.323078522,0.514605882,ADAM10,ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]
103,7392.700506,-0.1580573,0.190706375,-0.828799245,0.407218016,0.594603525,ADAR,adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]
104,1017.928565,-0.287962763,0.262830942,-1.095619721,0.273245228,0.463044111,ADARB1,adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]
105,32.59479354,-1.229982975,0.959663034,-1.281682144,0.199954171,0.376783662,ADARB2,adenosine deaminase RNA specific B2 (inactive) [Source:HGNC Symbol;Acc:HGNC:227]
107,705.3794679,0.319693506,0.384731131,0.830953049,0.406000153,0.593354021,ADCY1,adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]
108,30.67974474,-0.229588731,0.305693098,-0.751043228,0.452626641,0.634633566,ADCY2,adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]
109,979.4053092,-0.142824745,0.245813118,-0.581029791,0.561220375,0.723615292,ADCY3,adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]
111,147.0807048,-0.015632487,0.459149973,-0.034046581,0.972840006,0.986420411,ADCY5,adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]
112,1671.246065,-0.310315912,0.12579045,-2.466927445,0.013627797,0.059873988,ADCY6,adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]
113,1060.652621,-0.068295443,0.353184099,-0.193370661,0.846668691,0.916358717,ADCY7,adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]
114,500.166177,-8.867857534,0.912028036,-9.723229098,2.40E-22,1.99E-19,ADCY8,adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]
115,3030.75214,0.671978489,0.163629295,4.106712603,4.01E-05,0.000760768,ADCY9,adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]
116,14.14574257,-0.384852111,0.583675354,-0.659359879,0.509664699,0.682085302,ADCYAP1,adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]
117,106.2909515,0.766708414,0.342589422,2.237980407,0.025222333,0.092426563,ADCYAP1R1,ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]
118,8274.458578,-0.077868977,0.08034061,-0.969235573,0.332427666,0.52328236,ADD1,adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]
119,76.87668813,0.555566347,0.474278773,1.171391972,0.241441258,0.426351776,ADD2,adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]
120,7614.105656,0.89766992,0.244923027,3.665110344,0.000247232,0.00315647,ADD3,adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]
123,1076.419349,-0.255268467,0.158772087,-1.607766659,0.107886293,0.250727816,PLIN2,perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]
124,14.34758015,1.660324054,0.375151569,4.425741999,9.61E-06,0.00024299,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]"
125,1441.342991,2.586045304,0.749513491,3.45029854,0.000559967,0.005820801,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]"
126,93.19703242,2.626282529,0.611747977,4.293079219,1.76E-05,0.000396357,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide [Source:HGNC Symbol;Acc:HGNC:251]"
127,7.924015703,3.222736694,0.872904383,3.691969885,0.000222524,0.002911017,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]"
128,4152.095078,0.640343793,0.130634773,4.901786711,9.50E-07,3.53E-05,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide [Source:HGNC Symbol;Acc:HGNC:253]"
130,13.08831794,0.548100486,0.26584022,2.061766598,0.039229963,0.125101078,ADH6,alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]
132,1744.082397,-0.371953866,0.174635165,-2.129891,0.033180613,0.111636489,ADK,adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]
133,1030.603785,-2.192668866,0.539343942,-4.065437086,4.79E-05,0.00087601,ADM,adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]
134,760.3360365,-2.562240441,0.366949693,-6.982538717,2.90E-12,4.80E-10,ADORA1,adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]
135,101.5277361,0.239203979,0.382042107,0.626119412,0.531236621,0.700012652,ADORA2A,adenosine A2a receptor [Source:HGNC Symbol;Acc:HGNC:263]
136,39.58759306,-0.315418416,0.333269388,-0.946436809,0.343925838,0.534415438,ADORA2B,adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]
140,111.5992569,-0.434024482,0.442882232,-0.979999761,0.327086236,0.518616048,ADORA3,adenosine A3 receptor [Source:HGNC Symbol;Acc:HGNC:268]
141,554.7697268,0.381075429,0.130074407,2.929672629,0.003393193,0.02209698,ADPRH,ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]
142,3908.948557,0.39041029,0.192421297,2.028934928,0.042464919,0.132325577,PARP1,poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]
143,5762.299542,-0.797909933,0.253656337,-3.145633741,0.001657274,0.013125256,PARP4,poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]
146,17.83778704,0.249433704,0.48433546,0.515001944,0.606551662,0.757816232,ADRA1D,adrenoceptor alpha 1D [Source:HGNC Symbol;Acc:HGNC:280]
147,160.7466464,-1.721576763,0.346948803,-4.962048435,6.98E-07,2.76E-05,ADRA1B,adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]
148,21.98321735,0.880894356,0.392422034,2.244762728,0.024783369,0.091395308,ADRA1A,adrenoceptor alpha 1A [Source:HGNC Symbol;Acc:HGNC:277]
150,539.178798,-0.186968673,0.457168661,-0.408970887,0.682561026,0.811705888,ADRA2A,adrenoceptor alpha 2A [Source:HGNC Symbol;Acc:HGNC:281]
151,79.72938145,0.304761136,0.401506952,0.759043236,0.447826694,0.630763606,ADRA2B,adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]
152,48.55127809,0.027038695,0.490709602,0.055101215,0.956057828,0.978077867,ADRA2C,adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]
153,19.6134513,0.457543528,0.325024545,1.407719923,0.15921402,0.324247182,ADRB1,adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]
154,137.4089101,1.740105855,0.494730577,3.517279781,0.000435994,0.00485494,ADRB2,adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]
155,10.29170428,-4.474839755,0.962677562,-4.648326636,3.35E-06,0.000100609,ADRB3,adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]
156,3102.791171,-0.062642829,0.205196635,-0.305281953,0.76015142,0.863646061,GRK2,G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]
157,1146.410388,-0.164967893,0.331796359,-0.497196212,0.619050692,0.767276017,GRK3,G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]
158,1542.945162,-0.086750895,0.113900759,-0.761635794,0.446277405,0.629589888,ADSL,adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]
159,3011.88651,-0.553512064,0.199772912,-2.770706296,0.005593486,0.031790565,ADSS2,adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]
160,2631.47919,-0.260160219,0.132207062,-1.967823918,0.049088301,0.146572125,AP2A1,adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]
161,2027.837671,-0.049187143,0.110608437,-0.444696122,0.656539372,0.793776806,AP2A2,adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]
162,3528.090376,-0.015361907,0.161051511,-0.095385052,0.924008989,0.960933109,AP1B1,adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]
163,9788.316859,-0.000168901,0.142293488,-0.001186989,0.99905292,0.999466678,AP2B1,adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]
164,4371.287009,0.241519998,0.082235313,2.936937803,0.003314706,0.021706424,AP1G1,adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]
165,8909.857057,-1.553310235,0.325795862,-4.76774083,1.86E-06,6.16E-05,AEBP1,AE binding protein 1 [Source:HGNC Symbol;Acc:HGNC:303]
166,20197.73085,0.27374743,0.215286396,1.271550059,0.20353303,0.381026941,TLE5,"TLE family member 5, transcriptional modulator [Source:HGNC Symbol;Acc:HGNC:307]"
167,0.310252182,2.634059185,2.039818983,1.291320067,0.196592715,NA,CRISP1,cysteine rich secretory protein 1 [Source:HGNC Symbol;Acc:HGNC:304]
172,606.2857469,-0.727840688,0.30201857,-2.409920316,0.015956005,0.067123042,AFG3L1P,"AFG3 like matrix AAA peptidase subunit 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:314]"
174,1.415295045,3.33572352,1.329013449,2.509924578,0.012075695,0.054935224,AFP,alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]
175,1241.145375,-0.024396093,0.155382943,-0.157006249,0.875239923,0.933275017,AGA,aspartylglucosaminidase [Source:HGNC Symbol;Acc:HGNC:318]
176,115.0557806,-2.985734654,0.433851955,-6.881920475,5.91E-12,8.98E-10,ACAN,aggrecan [Source:HGNC Symbol;Acc:HGNC:319]
177,1146.208744,0.313420723,0.41249024,0.759825791,0.447358724,0.630356892,AGER,advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]
178,1243.025575,0.742812814,0.202751767,3.663656422,0.00024864,0.003165832,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"
181,2.081404871,-0.877097767,0.771792663,-1.136442221,0.255771534,0.443584296,AGRP,agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]
182,3401.569092,-0.387640945,0.181199349,-2.139306502,0.032410853,0.109973352,JAG1,jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]
183,352.9009046,-0.15873345,0.511344936,-0.310423432,0.756238978,0.861182038,AGT,angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]
185,166.7927551,1.474529728,0.483495184,3.04972992,0.002290472,0.016538774,AGTR1,angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]
186,2.775727186,-0.88561499,1.042902375,-0.849183021,0.39577946,0.584059063,AGTR2,angiotensin II receptor type 2 [Source:HGNC Symbol;Acc:HGNC:338]
187,1731.409018,-0.915303754,0.324300112,-2.822397276,0.004766609,0.028380789,APLNR,apelin receptor [Source:HGNC Symbol;Acc:HGNC:339]
190,0.709449822,-1.763581685,2.827830144,-0.623651915,0.532856208,NA,NR0B1,nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]
191,3960.395848,-0.034726525,0.132560017,-0.261968322,0.793345865,0.883697225,AHCY,adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]
196,4872.329382,-1.007872965,0.29567687,-3.408697358,0.000652739,0.006547332,AHR,aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]
197,0.300930471,-1.104013925,1.486498968,-0.742694041,0.457666938,NA,AHSG,alpha 2-HS glycoprotein [Source:HGNC Symbol;Acc:HGNC:349]
199,602.0360444,-0.396757097,0.38771283,-1.023327232,0.306153152,0.497622663,AIF1,allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]
202,1228.75948,0.070673022,0.303922896,0.232536026,0.816121709,0.898239231,CRYBG1,crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]
203,3120.798149,-0.793798028,0.256925073,-3.089609037,0.002004201,0.014999228,AK1,adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]
204,5300.168189,0.21023005,0.079842832,2.633048512,0.008462226,0.042714948,AK2,adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
205,389.0016634,-0.194187974,0.207152246,-0.937416696,0.348544256,0.539091234,AK4,adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]
207,4636.535082,-0.20879885,0.112146109,-1.861846594,0.062624717,0.173241811,AKT1,AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]
208,10007.0235,0.244122183,0.215535477,1.132631097,0.257369204,0.445503939,AKT2,AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]
210,3110.767411,-0.066840295,0.11563486,-0.578028934,0.563244585,0.724996084,ALAD,aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]
211,1401.259812,0.359462946,0.155063066,2.318172568,0.020439944,0.079861093,ALAS1,5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]
212,7.775740332,2.685365872,0.555115516,4.83749021,1.31E-06,4.68E-05,ALAS2,5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]
213,23.73171548,-0.080898488,0.366140582,-0.220949254,0.825131946,0.902947337,ALB,albumin [Source:HGNC Symbol;Acc:HGNC:399]
214,6907.211155,-0.552469457,0.320041185,-1.726244882,0.084303367,0.212792647,ALCAM,activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]
215,508.4391343,0.522575682,0.19452735,2.686386678,0.007222944,0.038168345,ABCD1,ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]
216,8450.70836,1.083922471,0.310120327,3.495167447,0.000473764,0.005167154,ALDH1A1,aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]
217,4371.883096,0.937910324,0.229514752,4.086492554,4.38E-05,0.000815572,ALDH2,aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]
218,20.47051724,0.880670958,0.356827954,2.468054835,0.013584951,0.059734088,ALDH3A1,aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]
219,866.8417634,1.240604735,0.252628492,4.910787075,9.07E-07,3.42E-05,ALDH1B1,aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]
220,540.7152298,-1.830052118,0.43402881,-4.216430052,2.48E-05,0.000518109,ALDH1A3,aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]
221,732.9105201,-1.95697206,0.270375156,-7.237987728,4.55E-13,8.84E-11,ALDH3B1,aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]
222,12.89350985,-5.185964061,1.076930461,-4.815505039,1.47E-06,5.12E-05,ALDH3B2,aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]
223,6091.809327,0.676284529,0.168631597,4.010425931,6.06E-05,0.001053419,ALDH9A1,aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]
224,7030.755101,-0.368570366,0.207398651,-1.777110724,0.075550024,0.19768478,ALDH3A2,aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]
225,97.95637538,0.993152671,0.610730891,1.626170685,0.10391335,0.244831095,ABCD2,ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]
226,10398.94166,0.010851411,0.158017094,0.068672388,0.945250398,0.972135696,ALDOA,"aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]"
229,7.76674562,-0.008636949,0.498644788,-0.017320845,0.986180656,0.992991394,ALDOB,"aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]"
230,304.8279862,-0.381650744,0.311689103,-1.224459696,0.220778862,0.402514411,ALDOC,"aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"
231,1632.717235,0.003409617,0.244158648,0.01396476,0.988858096,0.994051084,AKR1B1,aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]
